,nome,Tipo,Empresa,Setor,Subsetor,Cotação,Valor de mercado,Valor da firma,P/L,P/VP,P/EBIT,PSR,P/Ativos,P/Cap. Giro,P/Ativ Circ Liq,Div. Yield,EV / EBITDA,EV / EBIT,Cres. Rec (5a),LPA,VPA,Marg. Bruta,Marg. EBIT,Marg. Líquida,EBIT / Ativo,ROIC,ROE,Liquidez Corr,Div Br/ Patrim,Giro Ativos,Ativo,Patrim. Líq
104,CURY3,ON NM,CURY S/A ON NM,Construção Civil,Incorporações,"17,99",5.250.830.000,4.787.480.000,"12,71","5,69","9,06","1,98","1,67","3,96","23,68","6,3%","7,99","7,99","29,1%","1,42","3,16","37,8%","21,8%","16,1%","18,4%","30,6%","44,8%","2,34","0,70","0,84","1,67",923.179.000
105,MBLY3,ON NM,MOBLY ON NM,Programas e Serviços,Programas e Serviços,"2,03",216.175.000,258.568.000,"-2,67","0,44","-2,61","0,38","0,28","0,79","1,52","0,0%","-19,97","-19,97","-10,3%","-0,76","4,62","43,0%","-14,4%","-14,1%","-10,6%","-14,3%","-16,4%","2,76","0,37","0,74","0,28",491.793.000
106,DXCO3,ON,DEXCO ON,Madeira e Papel,Madeira,"8,07",6.621.970.000,11.081.200.000,"8,16","1,03","6,04","0,89","0,40","5,50","-1,26","2,7%","5,23","5,23","14,4%","0,99","7,81","33,5%","14,8%","11,2%","6,6%","7,9%","12,7%","1,34","0,95","0,45","0,40",6.411.570.000
107,EVEN3,ON NM,Even ON NM,Construção Civil,Incorporações,"8,20",1.640.000.000,1.822.100.000,"10,32","0,85","8,61","0,65","0,23","0,42","1,38","6,1%","9,10","9,10","10,7%","0,79","9,69","20,5%","7,5%","8,8%","2,7%","3,2%","8,2%","3,51","0,59","0,36","0,23",1.937.970.000
108,JALL3,ON NM,JALLESMACHAD ON NM,Alimentos Processados,Açucar e Alcool,"7,84",2.379.770.000,5.130.050.000,"6,00","1,19","9,98","1,41","0,36","1,42","-1,17","5,5%","5,63","5,63","14,1%","1,31","6,58","29,1%","14,1%","23,5%","3,6%","4,3%","19,9%","2,96","1,84","0,26","0,36",1.996.410.000
109,AZEV4,PN,AZEVEDO & TRAVASSOS PN,Construção e Engenharia,Construção Pesada,"1,96",328.908.000,370.114.000,"-7,82","2,35","-3,50","0,67","0,55","-8,46","-1,50","0,0%","-7,30","-7,30","454,9%","-0,25","0,83","11,5%","-19,2%","-8,6%","-15,6%","-17,9%","-30,0%","0,86","0,31","0,82","0,55",140.013.000
110,RAPT4,PN N1,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1,Material de Transporte,Material Rodoviário,"12,80",4.215.440.000,7.067.550.000,"10,14","1,43","2,91","0,38","0,33","1,08","-3,54","4,5%","4,11","4,11","27,1%","1,26","8,94","25,1%","13,0%","6,0%","11,4%","15,5%","14,1%","2,10","1,79","0,88","0,33",2.944.690.000
111,YDUQ3,ON,YDUQS PART ON,Diversos,Serviços Educacionais,"22,42",6.929.780.000,11.092.800.000,"36,85","2,14","8,52","1,38","0,71","7,96","-1,74","1,2%","7,03","7,03","9,0%","0,61","10,48","59,3%","16,2%","3,8%","8,3%","9,7%","5,8%","1,52","1,65","0,51","0,71",3.239.030.000
112,TRIS3,ON NM,Trisul ON NM,Construção Civil,Incorporações,"5,80",1.082.380.000,1.844.330.000,"10,14","0,81","12,61","1,12","0,40","0,83","1,53","2,4%","20,41","20,41","4,2%","0,57","7,14","24,1%","8,9%","11,5%","3,2%","3,6%","8,0%","2,82","0,76","0,36","0,40",1.332.140.000
113,SAPR4,PN,SANEPAR PN,Água e Saneamento,Água e Saneamento,"5,89",8.901.000.000,13.302.200.000,"5,98","0,94","3,36","1,47","0,49","11,28","-1,45","6,3%","4,27","4,27","7,6%","0,99","6,28","60,1%","43,6%","24,5%","14,5%","15,9%","15,7%","1,41","0,60","0,33","0,49",9.497.430.000
114,CASH3,ON NM,MELIUZ ON NM,Programas e Serviços,Programas e Serviços,"7,95",688.313.000,270.426.000,"-17,71","0,88","-9,07","2,01","0,57","1,17","1,29","0,0%","-4,82","-4,82","28,2%","-0,45","9,02","-22,1%","-22,1%","-7,2%","-6,3%","-9,8%","-5,0%","2,65","0,00","0,29","0,57",780.734.000
115,GGPS3,ON NM,GPS ON NM,Serviços Diversos,Serviços Diversos,"18,85",12.670.400.000,13.178.600.000,"21,32","4,30","11,95","1,24","1,31","3,90","-10,34","1,4%","10,42","10,42","18,4%","0,88","4,39","17,4%","10,3%","5,8%","11,0%","15,3%","20,2%","2,45","1,05","1,06","1,31",2.948.660.000
116,GRND3,ON,GRENDENE SA ON,"Tecidos, Vestuário e Calçados",Calçados,"7,07",6.378.270.000,5.679.120.000,"12,33","1,83","17,24","2,62","1,65","2,99","3,03","19,6%","12,24","12,24","6,6%","0,57","3,86","44,0%","15,2%","21,2%","9,6%","12,3%","14,8%","7,09","0,03","0,63","1,65",3.483.510.000
117,MOVI3,ON NM,MOVIDA ON NM,Diversos,Aluguel de carros,"11,89",4.307.770.000,15.973.500.000,"-96,36","1,42","1,94","0,41","0,20","5,18","-0,31","1,0%","4,21","4,21","34,5%","-0,12","8,36","32,2%","21,1%","-0,4%","10,2%","12,7%","-1,5%","1,21","4,52","0,49","0,20",3.027.690.000
118,MULT3,ON N2,Multiplan ON N2,Exploração de Imóveis,Exploração de Imóveis,"28,42",17.073.600.000,18.979.800.000,"17,84","2,47","11,27","8,70","1,58","106,98","-6,88","3,5%","11,29","11,29","13,4%","1,59","11,49","92,7%","77,2%","48,7%","14,0%","15,3%","13,9%","1,12","0,38","0,18","1,58",6.899.850.000
119,KEPL3,ON,KEPLER WEBER SA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,"10,93",1.964.340.000,1.853.840.000,"7,43","2,88","6,44","1,30","1,42","5,22","8,61","7,9%","5,48","5,48","33,8%","1,47","3,79","32,0%","20,2%","17,5%","22,1%","33,0%","38,8%","1,68","0,31","1,09","1,42",681.618.000
120,CXSE3,ON NM,CAIXA SEGURI ON NM,Previdência e Seguros,Seguradoras,"12,90",38.700.000.000,36.820.800.000,"10,97","3,03","-332,64",-,"3,00","20,25","20,28","7,8%","-316,53","-316,53",-,"1,18","4,25",-,-,"0,0%","-0,9%","-1,1%","27,7%","17,58",-,-,"3,00",12.760.400.000
121,BPAN4,PN,BANCO PAN PN,Intermediários Financeiros,Bancos,"8,64",10.964.800.000,-,"15,90","1,37",-,-,-,-,-,"0,0%",-,-,"15,1%","0,54","6,31",-,-,"0,0%","0,0%",-,"8,6%",-,-,-,-,8.005.560.000
122,POSI3,ON NM,POSITIVO TEC ON NM,Computadores e Equipamentos,Computadores e Equipamentos,"6,96",986.928.000,1.863.040.000,"5,16","0,68","2,61","0,28","0,24","0,65","1,54","7,4%","4,32","4,32","24,3%","1,35","10,21","30,0%","10,6%","5,5%","9,0%","12,9%","13,2%","1,83","0,87","0,86","0,24",1.447.110.000
123,SBSP3,ON NM,SABESP ON NM,Água e Saneamento,Água e Saneamento,"75,37",51.516.100.000,67.543.800.000,"17,29","1,74","10,02","2,13","0,87","-4.114,06","-2,31","1,7%","8,62","8,62","7,9%","4,36","43,30","35,0%","21,2%","12,3%","8,7%","9,3%","10,1%","1,00","0,64","0,41","0,87",29.593.900.000
124,MEAL3,ON NM,IMC S/A ON NM,Hoteis e Restaurantes,Restaurante e Similares,"1,98",567.013.000,884.047.000,"4,85","0,51","-10,52","0,25","0,21","-6,22","-0,49","0,0%","4,74","4,74","14,4%","0,41","3,88","32,2%","-2,4%","5,2%","-2,0%","-2,2%","10,5%","0,84","0,45","0,82","0,21",1.112.260.000
125,NEOE3,ON NM,NEOENERGIA ON NM,Energia Elétrica,Energia Elétrica,"21,34",25.902.400.000,63.853.400.000,"5,85","0,88","2,84","0,58","0,27","21,25","-0,57","5,4%","5,47","5,47","14,3%","3,64","24,28","26,7%","20,6%","10,1%","9,4%","10,6%","15,0%","1,06","1,54","0,46","0,27",29.475.000.000
126,GUAR3,ON,GUARARAPES CONFECÇÕES ON,Comércio,"Tecidos, Vestuário e Calçados","6,54",3.264.770.000,4.982.150.000,"-20,18","0,65","15,48","0,38","0,24","0,98","-32,41","0,0%","6,00","6,00","5,4%","-0,32","9,99","58,3%","2,4%","-1,9%","1,5%","1,9%","-3,2%","1,62","0,75","0,63","0,24",4.986.780.000
127,CEAB3,ON NM,CEA MODAS ON NM,Comércio,"Tecidos, Vestuário e Calçados","7,83",2.413.560.000,3.017.080.000,"51,90","0,85","5,47","0,38","0,28","1,55","-1,40","0,0%","2,60","2,60","16,7%","0,15","9,22","51,9%","6,9%","0,7%","5,0%","6,9%","1,6%","1,59","0,61","0,73","0,28",2.842.690.000
128,SLCE3,ON NM,SLC Agricola ON NM,Agropecuária,Agricultura,"18,82",8.343.470.000,11.762.600.000,"7,26","1,61","3,56","0,87","0,50","2,12","-2,74","6,8%","4,61","4,61","38,7%","2,59","11,72","31,6%","24,3%","12,7%","14,2%","16,4%","22,1%","1,97","0,98","0,58","0,50",5.197.090.000
129,KLBN4,PN N2,KLABIN PN N2,Madeira e Papel,Papel e Celulose,"4,41",24.774.900.000,45.656.600.000,"8,60","2,22","5,40","1,33","0,48","3,40","-1,01","6,1%","5,89","5,89","18,3%","0,51","1,99","39,1%","24,7%","18,8%","8,9%","11,1%","25,8%","2,16","2,57","0,36","0,48",11.159.900.000
130,IRBR3,ON NM,IRBBRASIL RE ON NM,Previdência e Seguros,Seguradoras,"44,30",3.644.250.000,-,"96,85","0,87","-6,61","0,56","0,17",-,-,"0,0%",-,-,-,"0,46","50,69","0,8%","-8,5%","0,6%","-2,5%",-,"0,9%",-,-,"0,30","0,17",4.169.510.000
131,HBOR3,ON,Helbor ON,Construção Civil,Incorporações,"3,53",472.494.000,2.142.280.000,"11,67","0,34","4,32","0,41","0,08","0,21","-6,90","2,6%","15,43","15,43","-5,0%","0,30","10,42","28,3%","9,6%","12,3%","1,9%","2,0%","2,9%","3,03","1,39","0,20","0,08",1.394.330.000
132,VIVT3,ON,TELEF BRASIL ON,Telecomunicações,Telecomunicações,"53,44",88.314.300.000,101.512.000.000,"19,39","1,27","12,51","1,72","0,74","-53,77","-2,82","5,8%","5,02","5,02","3,9%","2,76","41,92","43,5%","13,8%","8,9%","5,9%","6,6%","6,6%","0,92","0,26","0,43","0,74",69.269.900.000
133,ARZZ3,ON NM,AREZZO CO ON NM,Comércio,"Tecidos, Vestuário e Calçados","64,53",7.162.120.000,7.611.060.000,"18,62","2,48","14,18","1,51","1,27","14,03","-173,26","3,0%","10,51","10,51","37,5%","3,47","26,05","53,6%","10,7%","8,1%","9,0%","11,4%","13,3%","1,23","0,38","0,84","1,27",2.891.400.000
134,EZTC3,ON NM,EZTec ON NM,Construção Civil,Incorporações,"18,70",4.132.500.000,4.151.010.000,"21,96","0,90","73,14","3,91","0,71","1,96","2,88","1,1%","52,74","52,74","10,6%","0,85","20,81","29,2%","5,3%","18,4%","1,0%","1,1%","4,1%","5,19","0,18","0,18","0,71",4.598.390.000
135,PINE4,PN,Pine PN,Intermediários Financeiros,Bancos,"4,37",816.211.000,-,"5,84","0,85",-,-,-,-,-,"3,7%",-,-,"127,7%","0,75","5,16",-,-,"0,0%","0,0%",-,"14,5%",-,-,-,-,964.510.000
136,TTEN3,ON NM,3TENTOS ON NM,Agropecuária,Agricultura,"12,04",5.999.500.000,6.115.840.000,"9,58","1,89","11,52","0,74","0,91","4,09","7,33","0,0%","10,69","10,69","27,7%","1,26","6,37","14,9%","6,4%","7,7%","7,9%","14,4%","19,7%","1,52","0,40","1,23","0,91",3.172.940.000
137,ESPA3,ON NM,ESPACOLASER ON NM,Comércio,Produtos Diversos,"1,22",440.936.000,1.131.150.000,"-21,86","0,50","3,91","0,44","0,19","3,31","-0,99","0,0%","5,77","5,77","14,8%","-0,06","2,43","36,9%","11,4%","-2,3%","4,9%","5,5%","-2,3%","1,16","1,04","0,44","0,19",877.564.000
138,INTB3,ON NM,INTELBRAS ON NM,Computadores e Equipamentos,Computadores e Equipamentos,"22,00",7.207.440.000,6.941.690.000,"13,84","2,92","14,83","1,73","1,53","3,35","6,02","1,5%","12,26","12,26","20,8%","1,59","7,53","31,5%","11,7%","12,6%","10,3%","17,9%","21,1%","2,68","0,38","0,88","1,53",2.468.360.000
139,SBFG3,ON,GRUPO SBF ON,Comércio,Produtos Diversos,"11,73",2.858.470.000,5.819.600.000,"15,65","1,16","6,11","0,42","0,35","1,62","-1,88","1,2%","6,57","6,57","35,7%","0,75","10,10","47,9%","6,8%","2,7%","5,7%","6,4%","7,4%","1,71","1,27","0,83","0,35",2.461.640.000
140,BRSR6,PNB,BANRISUL S/A PNB,Intermediários Financeiros,Bancos,"13,35",5.459.800.000,-,"6,68","0,58",-,-,-,-,-,"6,9%",-,-,"5,6%","2,00","23,18",-,-,"0,0%","0,0%",-,"8,6%",-,-,-,-,9.478.730.000
141,CPFE3,ON,CPFL ENERGIA S.A. ON,Energia Elétrica,Energia Elétrica,"38,51",44.373.300.000,63.799.200.000,"8,27","2,44","4,11","1,11","0,60","-14,47","-1,19","7,5%","5,03","5,03","10,0%","4,66","15,77","33,2%","27,0%","14,0%","14,6%","16,6%","29,5%","0,85","1,38","0,54","0,60",18.172.700.000
142,SMTO3,ON NM,SAO MARTINHO ON NM,Alimentos Processados,Açucar e Alcool,"29,31",10.376.100.000,17.903.100.000,"8,51","1,68","7,57","1,67","0,54","2,96","-1,51","4,2%","5,30","5,30","17,2%","3,45","17,42","30,8%","22,0%","19,6%","7,2%","8,0%","19,8%","2,34","1,48","0,33","0,54",6.167.340.000
143,PLPL3,ON NM,PLANOEPLANO ON NM,Construção Civil,Incorporações,"11,68",2.385.710.000,2.504.590.000,"9,81","3,99","5,29","1,28","1,20","2,12","6,72","1,4%","5,37","5,37","22,4%","1,19","2,92","33,7%","24,1%","13,3%","22,7%","32,3%","40,7%","2,96","0,78","0,94","1,20",597.321.000
144,BRAP4,PN N1,BRADESPAR S/A PN N1,Mineração,Minerais Metálicos,"25,66",10.086.900.000,9.583.810.000,"4,75","1,26","-493,85",-,"1,24","21,96","21,99","11,8%","-469,22","-469,22",-,"5,40","20,41",-,-,"0,0%","-0,3%","-0,3%","26,4%","5,31",-,-,"1,24",8.023.720.000
145,MYPK3,ON,IOCHPE-MAXION ON,Automóveis e Motocicletas,Automóveis e Motocicletas,"12,89",1.981.450.000,5.794.220.000,"-19,25","0,52","2,91","0,13","0,13","0,67","-0,70","2,3%","4,99","4,99","16,9%","-0,67","24,94","9,3%","4,4%","0,0%","4,5%","6,8%","-2,7%","1,58","1,79","1,04","0,13",3.834.280.000
146,HYPE3,ON,HYPERA ON,Comércio e Distribuição,Medicamentos e Outros Produtos,"35,75",22.644.800.000,30.265.700.000,"12,80","1,99","8,58","2,77","0,93","5,93","-4,75","3,4%","10,59","10,59","27,4%","2,79","17,98","63,1%","32,2%","21,6%","10,9%","12,1%","15,5%","1,89","0,86","0,34","0,93",11.388.400.000
147,LOGN3,ON NM,Log-In ON NM,Transporte,Transporte Hidroviário,"38,49",4.120.690.000,4.998.160.000,"10,72","4,21","13,03","1,80","1,19","13,69","-2,79","0,0%","9,39","9,39","24,1%","3,59","9,14","22,7%","13,8%","16,8%","9,1%","11,1%","39,3%","1,42","1,43","0,66","1,19",978.996.000
148,BMGB4,PN N1,BANCO BMG PN N1,Intermediários Financeiros,Bancos,"3,27",1.907.170.000,-,"12,46","0,49",-,-,-,-,-,"11,5%",-,-,"-13,0%","0,26","6,68",-,-,"0,0%","0,0%",-,"3,9%",-,-,-,-,3.896.220.000
149,PFRM3,ON NM,PROFARMA ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,"6,10",755.259.000,1.287.330.000,"16,23","0,60","2,00","0,09","0,16","0,85","4,19","1,9%","2,47","2,47","16,8%","0,38","10,19","14,6%","4,4%","0,6%","8,0%","13,5%","3,7%","1,37","0,56","1,82","0,16",1.261.610.000
150,EGIE3,ON,ENGIE BRASIL ON,Energia Elétrica,Energia Elétrica,"45,33",36.986.000.000,51.756.400.000,"10,97","4,38","6,70","3,32","0,94","71,54","-1,56","6,4%","8,04","8,04","3,9%","4,13","10,34","53,4%","49,6%","30,3%","14,0%","15,5%","40,0%","1,09","2,12","0,28","0,94",8.436.830.000
151,MILS3,ON NM,MILLS ON NM,Diversos,Aluguel de carros,"13,58",3.344.880.000,3.820.220.000,"13,67","2,41","7,31","2,50","1,21","5,53","-9,57","2,2%","5,79","5,79","43,6%","0,99","5,65","65,4%","34,2%","18,3%","16,6%","22,5%","17,6%","2,49","0,76","0,49","1,21",1.390.720.000
152,ELET6,PNB,ELETROBRÁS PNB,Energia Elétrica,Energia Elétrica,"46,98",108.388.000.000,147.547.000.000,"33,85","0,96","10,33","3,08","0,39","4,00","-1,03","3,2%","10,47","10,47","19,4%","1,39","49,03","50,0%","29,8%","8,6%","3,8%","4,3%","2,8%","1,88","0,63","0,13","0,39",113.118.000.000
153,CSMG3,ON,COPASA MG ON,Água e Saneamento,Água e Saneamento,"20,48",7.787.580.000,11.133.300.000,"6,03","0,99","4,65","1,11","0,56","7,78","-2,28","14,1%","4,54","4,54","8,5%","3,40","20,75","40,2%","23,9%","18,5%","11,9%","13,5%","16,4%","1,58","0,58","0,50","0,56",7.891.110.000
154,ARML3,ON NM,ARMAC ON NM,Diversos,Aluguel de carros,"17,05",5.899.570.000,7.316.000.000,"35,02","4,86","13,88","4,75","1,49","8,74","-3,88","1,0%","12,16","12,16","184,6%","0,49","3,51","48,1%","34,2%","13,6%","10,7%","14,8%","13,9%","2,22","1,82","0,31","1,49",1.213.290.000
155,LUPA3,ON NM,LUPATECH ON NM,"Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,"2,26",92.745.900,236.409.000,"2,59","0,58","-5,69","1,01","0,19","1,98","-0,51","0,0%","-40,36","-40,36","-3,3%","0,87","3,88","22,6%","-17,8%","39,1%","-3,3%","-3,4%","22,5%","1,43","0,93","0,18","0,19",159.208.000
156,SEER3,ON NM,SER EDUCA ON NM,Diversos,Serviços Educacionais,"7,86",1.011.750.000,1.534.730.000,"-6,36","0,84","5,09","0,56","0,30","12,45","-0,68","0,0%","3,56","3,56","10,2%","-1,24","9,35","50,4%","11,1%","-8,9%","5,8%","6,2%","-13,2%","1,13","0,59","0,52","0,30",1.203.790.000
157,VULC3,ON,VULCABRAS S/A. ON,"Tecidos, Vestuário e Calçados",Calçados,"20,14",4.952.750.000,4.963.310.000,"8,77","2,49","9,98","1,79","1,77","3,27","4,31","4,6%","8,38","8,38","25,1%","2,30","8,07","40,6%","18,0%","20,4%","17,7%","21,7%","28,4%","4,39","0,19","0,99","1,77",1.985.350.000
158,PSSA3,ON,PORTO SEGURO SA ON,Previdência e Seguros,Seguradoras,"28,74",18.582.900.000,7.123.430.000,"8,55","1,57","0,72","0,59","0,34","6,03","-2,88","4,9%","0,27","0,27","15,9%","3,36","18,34","100,0%","82,4%","7,1%","47,1%","59,6%","18,3%","1,09",-,"0,57","0,34",11.857.900.000
159,RANI3,ON,IRANI ON,Madeira e Papel,Papel e Celulose,"10,92",2.690.240.000,3.739.450.000,"5,82","2,08","5,14","1,66","0,77","3,13","-2,61","7,8%","5,95","5,95","18,1%","1,88","5,24","46,8%","32,3%","28,6%","15,1%","18,7%","35,8%","3,91","1,23","0,47","0,77",1.290.940.000
160,ABCB4,PN N2,ABC Brasil PN N2,Intermediários Financeiros,Bancos,"25,04",5.932.880.000,-,"7,26","1,04",-,-,-,-,-,"4,6%",-,-,"70,9%","3,45","24,15",-,-,"0,0%","0,0%",-,"14,3%",-,-,-,-,5.721.810.000
161,VLID3,ON NM,VALID ON NM,Serviços Diversos,Serviços Diversos,"20,50",1.677.640.000,1.958.740.000,"8,29","1,23","3,65","0,86","0,63","2,49","27,14","6,0%","3,36","3,36","1,4%","2,47","16,60","38,8%","23,4%","9,7%","17,2%","22,5%","14,9%","2,00","0,54","0,73","0,63",1.358.760.000
162,ENJU3,ON NM,ENJOEI ON NM,Programas e Serviços,Programas e Serviços,"1,69",342.446.000,69.440.700,"-7,77","0,97","-4,90","2,07","0,79","1,33","1,42","0,0%","-1,48","-1,48","25,2%","-0,22","1,75","46,1%","-42,3%","-26,7%","-16,1%","-51,7%","-12,4%","5,06",-,"0,38","0,79",353.986.000
163,KRSA3,ON NM,KORA SAUDE ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,"1,30",1.005.350.000,3.229.140.000,"-4,74","0,99","3,93","0,45","0,21","1,52","-0,44","0,0%","7,65","7,65","16,1%","-0,27","1,31","20,4%","11,5%","-8,8%","5,4%","6,1%","-20,9%","1,92","2,40","0,47","0,21",1.013.980.000
164,PTBL3,ON,PORTOBELLO S/A ON,Construção e Engenharia,Produtos para Construção,"7,46",1.051.760.000,1.918.650.000,"-26,12","2,75","8,07","0,49","0,35","-46,92","-0,72","2,8%","7,43","7,43","21,5%","-0,29","2,71","39,7%","6,1%","-1,9%","4,3%","5,8%","-10,5%","0,98","3,12","0,70","0,35",382.221.000
